Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +0            -350.107      -350.107      -350.107      
1             1             +0            -362.192      -362.192      -362.192      
2             2             +0            -371.048      -371.048      -371.048      
3             3             +0            -351.799      -351.799      -351.799      
4             4             +0            -341.942      -341.942      -341.942      
5             5             +0            -352.496      -352.496      -352.496      
6             6             +0            -351.413      -351.413      -351.413      
7             7             +0            -349.216      -349.216      -349.216      
8             8             +0            -354.105      -354.105      -354.105      
9             9             +0            -363.776      -363.776      -363.776      
10            10            +0            -364.219      -364.219      -364.219      
11            11            +0            -345.521      -345.521      -345.521      
12            12            +0            -353.936      -353.936      -353.936      
13            13            +0            -334.05       -334.05       -334.05       
14            14            +0            -351.877      -351.877      -351.877      
15            15            +0            -360.471      -360.471      -360.471      
16            16            +0            -370.276      -370.276      -370.276      
17            17            +0            -353.681      -353.681      -353.681      
18            18            +0            -367.127      -367.127      -367.127      
19            19            +0            -365.781      -365.781      -365.781      
20            20            +0            -359.918      -359.918      -359.918      
21            21            +0            -363.173      -363.173      -363.173      
22            22            +0            -365.376      -365.376      -365.376      
23            23            +0            -364.206      -364.206      -364.206      
24            24            +0            -354.836      -354.836      -354.836      
25            25            +0            -361.985      -361.985      -361.985      
26            26            +0            -362.575      -362.575      -362.575      
27            27            +0            -354.175      -354.175      -354.175      
28            28            +0            -369.459      -369.459      -369.459      
29            29            +0            -378.311      -378.311      -378.311      
30            30            +0            -354.79       -354.79       -354.79       
31            31            +0            -357.205      -357.205      -357.205      
32            32            +0            -382.385      -382.385      -382.385      
33            33            +0            -359.804      -359.804      -359.804      
34            34            +0            -378.172      -378.172      -378.172      
