Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +0            -332.362      -332.362      -332.362      
1             1             +0            -323.001      -323.001      -323.001      
2             2             +0            -322.504      -322.504      -322.504      
3             3             +0            -328.94       -328.94       -328.94       
4             4             +0            -348.425      -348.425      -348.425      
5             5             +0            -336.817      -336.817      -336.817      
6             6             +0            -332.945      -332.945      -332.945      
7             7             +0            -344.204      -344.204      -344.204      
8             8             +0            -326.662      -326.662      -326.662      
9             9             +0            -345.421      -345.421      -345.421      
10            10            +0            -366.437      -366.437      -366.437      
11            11            +0            -348.665      -348.665      -348.665      
12            12            +0            -357.836      -357.836      -357.836      
13            13            +0            -360.304      -360.304      -360.304      
14            14            +0            -351.372      -351.372      -351.372      
15            15            +0            -359.719      -359.719      -359.719      
16            16            +0            -343.061      -343.061      -343.061      
17            17            +0            -352.398      -352.398      -352.398      
18            18            +0            -353.728      -353.728      -353.728      
19            19            +0            -360.556      -360.556      -360.556      
20            20            +0            -370.613      -370.613      -370.613      
21            21            +0            -373.372      -373.372      -373.372      
22            22            +0            -359.7        -359.7        -359.7        
23            23            +0            -374.754      -374.754      -374.754      
24            24            +0            -363.823      -363.823      -363.823      
25            25            +0            -363.559      -363.559      -363.559      
26            26            +0            -373.361      -373.361      -373.361      
27            27            +0            -389.058      -389.058      -389.058      
28            28            +0            -384.211      -384.211      -384.211      
29            29            +0            -379.553      -379.553      -379.553      
30            30            +0            -391.493      -391.493      -391.493      
31            31            +0            -371.682      -371.682      -371.682      
32            32            +0            -368.864      -368.864      -368.864      
33            33            +0            -414.676      -414.676      -414.676      
34            34            +0            -385.263      -385.263      -385.263      
35            35            +0            -368.293      -368.293      -368.293      
36            36            +0            -362.029      -362.029      -362.029      
37            37            +0            -399.011      -399.011      -399.011      
38            38            +0            -384.637      -384.637      -384.637      
