Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +0            -383.502      -383.502      -383.502      
1             1             +0            -334.679      -334.679      -334.679      
2             2             +0            -301.445      -301.445      -301.445      
3             3             +0            -316.683      -316.683      -316.683      
4             4             +0            -302.382      -302.382      -302.382      
5             5             +0            -319.155      -319.155      -319.155      
6             6             +0            -336.708      -336.708      -336.708      
7             7             +0            -314.363      -314.363      -314.363      
8             8             +0            -326.249      -326.249      -326.249      
9             9             +0            -314.923      -314.923      -314.923      
10            10            +0            -316.685      -316.685      -316.685      
11            11            +0            -324.494      -324.494      -324.494      
12            12            +0            -307.736      -307.736      -307.736      
13            13            +0            -322.479      -322.479      -322.479      
14            14            +0            -332.194      -332.194      -332.194      
15            15            +0            -304.287      -304.287      -304.287      
16            16            +0            -328.768      -328.768      -328.768      
17            17            +0            -331.106      -331.106      -331.106      
18            18            +0            -330.926      -330.926      -330.926      
19            19            +0            -324.637      -324.637      -324.637      
20            20            +0            -347.571      -347.571      -347.571      
21            21            +0            -325.397      -325.397      -325.397      
22            22            +0            -334.037      -334.037      -334.037      
23            23            +0            -326.352      -326.352      -326.352      
24            24            +0            -331.509      -331.509      -331.509      
25            25            +0            -334.564      -334.564      -334.564      
26            26            +0            -297.713      -297.713      -297.713      
27            27            +0            -328.993      -328.993      -328.993      
28            28            +0            -333.162      -333.162      -333.162      
29            29            +0            -320.248      -320.248      -320.248      
30            30            +0            -325.262      -325.262      -325.262      
31            31            +0            -333.063      -333.063      -333.063      
32            32            +0            -310.565      -310.565      -310.565      
33            33            +0            -320.392      -320.392      -320.392      
34            34            +0            -329.709      -329.709      -329.709      
35            35            +0            -317.854      -317.854      -317.854      
36            36            +0            -319.161      -319.161      -319.161      
37            37            +0            -298.933      -298.933      -298.933      
