Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +0            -8.8624       -8.8624       -8.8624       
1             1             +0            -40.6323      -40.6323      -40.6323      
2             2             +0            -297.521      -297.521      -297.521      
3             3             +0            -326.172      -326.172      -326.172      
4             4             +0            -332.611      -332.611      -332.611      
5             5             +0            -323.744      -323.744      -323.744      
6             6             +0            -300.331      -300.331      -300.331      
7             7             +0            -338.332      -338.332      -338.332      
8             8             +0            -324.994      -324.994      -324.994      
9             9             +0            -310.906      -310.906      -310.906      
10            10            +0            -306.231      -306.231      -306.231      
11            11            +0            -313.939      -313.939      -313.939      
12            12            +0            -322.974      -322.974      -322.974      
13            13            +0            -318.976      -318.976      -318.976      
14            14            +0            -317.767      -317.767      -317.767      
15            15            +0            -327.185      -327.185      -327.185      
16            16            +0            -321.645      -321.645      -321.645      
17            17            +0            -314.437      -314.437      -314.437      
18            18            +0            -327.359      -327.359      -327.359      
19            19            +0            -330.456      -330.456      -330.456      
20            20            +0            -346.108      -346.108      -346.108      
21            21            +0            -342.776      -342.776      -342.776      
22            22            +0            -338.477      -338.477      -338.477      
23            23            +0            -327.401      -327.401      -327.401      
24            24            +0            -336.027      -336.027      -336.027      
25            25            +0            -338.627      -338.627      -338.627      
26            26            +0            -323.3        -323.3        -323.3        
27            27            +0            -352.587      -352.587      -352.587      
28            28            +0            -319.252      -319.252      -319.252      
29            29            +0            -335.089      -335.089      -335.089      
30            30            +0            -319.544      -319.544      -319.544      
31            31            +0            -332.933      -332.933      -332.933      
32            32            +0            -333.807      -333.807      -333.807      
33            33            +0            -327.399      -327.399      -327.399      
34            34            +0            -339.559      -339.559      -339.559      
35            35            +0            -317.305      -317.305      -317.305      
36            36            +0            -319.438      -319.438      -319.438      
37            37            +0            -320.936      -320.936      -320.936      
38            38            +0            -330.78       -330.78       -330.78       
39            39            +0            -313.215      -313.215      -313.215      
40            40            +0            -324.451      -324.451      -324.451      
41            41            +0            -341.218      -341.218      -341.218      
42            42            +0            -335.609      -335.609      -335.609      
43            43            +0            -337.946      -337.946      -337.946      
44            44            +0            -331.73       -331.73       -331.73       
45            45            +0            -337.935      -337.935      -337.935      
46            46            +0            -329.69       -329.69       -329.69       
47            47            +0            -346.301      -346.301      -346.301      
48            48            +0            -319.603      -319.603      -319.603      
49            49            +0            -330.129      -330.129      -330.129      
50            50            +0            -325.266      -325.266      -325.266      
51            51            +0            -338.395      -338.395      -338.395      
52            52            +0            -335.071      -335.071      -335.071      
53            53            +0            -331.351      -331.351      -331.351      
54            54            +0            -332.347      -332.347      -332.347      
55            55            +0            -333.456      -333.456      -333.456      
56            56            +0            -317.79       -317.79       -317.79       
57            57            +0            -335.771      -335.771      -335.771      
58            58            +0            -328.322      -328.322      -328.322      
59            59            +0            -343.029      -343.029      -343.029      
60            60            +0            -328.06       -328.06       -328.06       
61            61            +0            -332.105      -332.105      -332.105      
62            62            +0            -338.779      -338.779      -338.779      
63            63            +0            -339.534      -339.534      -339.534      
64            64            +0            -332.646      -332.646      -332.646      
65            65            +0            -325.839      -325.839      -325.839      
66            66            +0            -329.034      -329.034      -329.034      
67            67            +0            -322.159      -322.159      -322.159      
68            68            +0            -321.87       -321.87       -321.87       
69            69            +0            -335.302      -335.302      -335.302      
70            70            +0            -330.717      -330.717      -330.717      
71            71            +0            -331.335      -331.335      -331.335      
72            72            +0            -322.164      -322.164      -322.164      
73            73            +0            -347.343      -347.343      -347.343      
74            74            +0            -320.347      -320.347      -320.347      
75            75            +0            -314.101      -314.101      -314.101      
76            76            +0            -316.751      -316.751      -316.751      
77            77            +0            -329.578      -329.578      -329.578      
78            78            +0            -338.196      -338.196      -338.196      
79            79            +0            -331.993      -331.993      -331.993      
80            80            +0            -327.377      -327.377      -327.377      
81            81            +0            -335.939      -335.939      -335.939      
82            82            +0            -326.211      -326.211      -326.211      
83            83            +0            -340.526      -340.526      -340.526      
84            84            +0            -346.185      -346.185      -346.185      
85            85            +0            -335.066      -335.066      -335.066      
86            86            +0            -318.012      -318.012      -318.012      
87            87            +0            -312.078      -312.078      -312.078      
88            88            +0            -334.723      -334.723      -334.723      
89            89            +0            -316.856      -316.856      -316.856      
90            90            +0            -353.782      -353.782      -353.782      
91            91            +0            -332.589      -332.589      -332.589      
92            92            +0            -330.278      -330.278      -330.278      
93            93            +0            -343.677      -343.677      -343.677      
94            94            +0            -339.954      -339.954      -339.954      
95            95            +0            -322.44       -322.44       -322.44       
96            96            +0            -352.861      -352.861      -352.861      
97            97            +0            -357.387      -357.387      -357.387      
98            98            +0            -348.055      -348.055      -348.055      
99            99            +0            -337.041      -337.041      -337.041      
100           100           +0            -344.541      -344.541      -344.541      
101           101           +0            -357.115      -357.115      -357.115      
102           102           +0            -327.07       -327.07       -327.07       
103           103           +0            -346.209      -346.209      -346.209      
104           104           +0            -337.52       -337.52       -337.52       
105           105           +0            -321.014      -321.014      -321.014      
106           106           +0            -341.83       -341.83       -341.83       
107           107           +0            -341.286      -341.286      -341.286      
108           108           +0            -330.811      -330.811      -330.811      
109           109           +0            -341.517      -341.517      -341.517      
