Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +0            -8.8782       -8.8782       -8.8782       
1             1             +0            -33.8684      -33.8684      -33.8684      
2             2             +0            -218.719      -218.719      -218.719      
3             3             +0            -254.416      -254.416      -254.416      
4             4             +0            -338.36       -338.36       -338.36       
5             5             +0            -369.697      -369.697      -369.697      
6             6             +0            -378.914      -378.914      -378.914      
7             7             +0            -358.741      -358.741      -358.741      
8             8             +0            -387.097      -387.097      -387.097      
9             9             +0            -371.133      -371.133      -371.133      
10            10            +0            -379.572      -379.572      -379.572      
11            11            +0            -372.517      -372.517      -372.517      
12            12            +0            -348.252      -348.252      -348.252      
13            13            +0            -369.413      -369.413      -369.413      
14            14            +0            -357.122      -357.122      -357.122      
15            15            +0            -353.371      -353.371      -353.371      
16            16            +0            -375.362      -375.362      -375.362      
17            17            +0            -390.772      -390.772      -390.772      
18            18            +0            -378.918      -378.918      -378.918      
19            19            +0            -326.36       -326.36       -326.36       
20            20            +0            -377.883      -377.883      -377.883      
21            21            +0            -374.283      -374.283      -374.283      
22            22            +0            -378.026      -378.026      -378.026      
23            23            +0            -361.039      -361.039      -361.039      
24            24            +0            -370.867      -370.867      -370.867      
25            25            +0            -372.324      -372.324      -372.324      
26            26            +0            -348.676      -348.676      -348.676      
27            27            +0            -377.233      -377.233      -377.233      
28            28            +0            -361.495      -361.495      -361.495      
29            29            +0            -358.019      -358.019      -358.019      
30            30            +0            -373.43       -373.43       -373.43       
31            31            +0            -375.348      -375.348      -375.348      
32            32            +0            -355.093      -355.093      -355.093      
33            33            +0            -345.336      -345.336      -345.336      
34            34            +0            -370.099      -370.099      -370.099      
35            35            +0            -366.028      -366.028      -366.028      
36            36            +0            -358.411      -358.411      -358.411      
37            37            +0            -376.343      -376.343      -376.343      
38            38            +0            -379.978      -379.978      -379.978      
39            39            +0            -367.884      -367.884      -367.884      
40            40            +0            -354.803      -354.803      -354.803      
41            41            +0            -364.176      -364.176      -364.176      
42            42            +0            -379.046      -379.046      -379.046      
43            43            +0            -358.167      -358.167      -358.167      
44            44            +0            -384.236      -384.236      -384.236      
45            45            +0            -375.599      -375.599      -375.599      
46            46            +0            -380.135      -380.135      -380.135      
47            47            +0            -340.094      -340.094      -340.094      
48            48            +0            -365.064      -365.064      -365.064      
49            49            +0            -382.76       -382.76       -382.76       
50            50            +0            -363.581      -363.581      -363.581      
51            51            +0            -357.764      -357.764      -357.764      
52            52            +0            -382.928      -382.928      -382.928      
53            53            +0            -366.588      -366.588      -366.588      
54            54            +0            -332.195      -332.195      -332.195      
55            55            +0            -337.423      -337.423      -337.423      
56            56            +0            -368.406      -368.406      -368.406      
57            57            +0            -345.327      -345.327      -345.327      
58            58            +0            -372.915      -372.915      -372.915      
59            59            +0            -355.952      -355.952      -355.952      
60            60            +0            -366.397      -366.397      -366.397      
61            61            +0            -371.452      -371.452      -371.452      
62            62            +0            -393.215      -393.215      -393.215      
63            63            +0            -358.541      -358.541      -358.541      
64            64            +0            -362.01       -362.01       -362.01       
65            65            +0            -372.789      -372.789      -372.789      
66            66            +0            -359.423      -359.423      -359.423      
67            67            +0            -360.064      -360.064      -360.064      
68            68            +0            -372.34       -372.34       -372.34       
69            69            +0            -368.888      -368.888      -368.888      
70            70            +0            -383.304      -383.304      -383.304      
71            71            +0            -366.077      -366.077      -366.077      
72            72            +0            -366.229      -366.229      -366.229      
73            73            +0            -334.156      -334.156      -334.156      
74            74            +0            -353.988      -353.988      -353.988      
75            75            +0            -379.175      -379.175      -379.175      
76            76            +0            -334.146      -334.146      -334.146      
77            77            +0            -385.145      -385.145      -385.145      
78            78            +0            -384.965      -384.965      -384.965      
79            79            +0            -355.205      -355.205      -355.205      
80            80            +0            -379.767      -379.767      -379.767      
81            81            +0            -367.64       -367.64       -367.64       
82            82            +0            -347.695      -347.695      -347.695      
83            83            +0            -358.366      -358.366      -358.366      
84            84            +0            -341.614      -341.614      -341.614      
85            85            +0            -347.842      -347.842      -347.842      
86            86            +0            -341.592      -341.592      -341.592      
87            87            +0            -367.983      -367.983      -367.983      
88            88            +0            -374.652      -374.652      -374.652      
89            89            +0            -349.368      -349.368      -349.368      
90            90            +0            -370.005      -370.005      -370.005      
91            91            +0            -365.171      -365.171      -365.171      
92            92            +0            -377.751      -377.751      -377.751      
93            93            +0            -368.526      -368.526      -368.526      
94            94            +0            -365.144      -365.144      -365.144      
95            95            +0            -370.968      -370.968      -370.968      
96            96            +0            -367.848      -367.848      -367.848      
97            97            +0            -357.881      -357.881      -357.881      
98            98            +0            -363.456      -363.456      -363.456      
99            99            +0            -365.677      -365.677      -365.677      
100           100           +0            -385.437      -385.437      -385.437      
101           101           +0            -367.925      -367.925      -367.925      
102           102           +0            -362.546      -362.546      -362.546      
103           103           +0            -347.313      -347.313      -347.313      
104           104           +0            -370.658      -370.658      -370.658      
105           105           +0            -374.673      -374.673      -374.673      
106           106           +0            -377.021      -377.021      -377.021      
107           107           +0            -353.314      -353.314      -353.314      
108           108           +0            -359.741      -359.741      -359.741      
109           109           +0            -384.306      -384.306      -384.306      
110           110           +0            -359.099      -359.099      -359.099      
111           111           +0            -374.559      -374.559      -374.559      
112           112           +0            -381.821      -381.821      -381.821      
113           113           +0            -362.414      -362.414      -362.414      
114           114           +0            -374.802      -374.802      -374.802      
115           115           +0            -365.122      -365.122      -365.122      
116           116           +0            -349.075      -349.075      -349.075      
117           117           +0            -371.856      -371.856      -371.856      
118           118           +0            -364.784      -364.784      -364.784      
119           119           +0            -367.64       -367.64       -367.64       
120           120           +0            -370.533      -370.533      -370.533      
121           121           +0            -374.646      -374.646      -374.646      
122           122           +0            -366.265      -366.265      -366.265      
123           123           +0            -377.405      -377.405      -377.405      
124           124           +0            -382.624      -382.624      -382.624      
125           125           +0            -359.829      -359.829      -359.829      
126           126           +0            -355.949      -355.949      -355.949      
127           127           +0            -361.239      -361.239      -361.239      
128           128           +0            -339.276      -339.276      -339.276      
129           129           +0            -363.099      -363.099      -363.099      
130           130           +0            -370.704      -370.704      -370.704      
131           131           +0            -376.997      -376.997      -376.997      
132           132           +0            -354.762      -354.762      -354.762      
133           133           +0            -378.202      -378.202      -378.202      
