Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +0            -8.7721       -8.7721       -8.7721       
1             1             +0            -39.594       -39.594       -39.594       
2             2             +0            -155.332      -155.332      -155.332      
3             3             +0            -182.624      -182.624      -182.624      
4             4             +0            -271.956      -271.956      -271.956      
5             5             +0            -269.472      -269.472      -269.472      
6             6             +0            -281.044      -281.044      -281.044      
7             7             +0            -303.793      -303.793      -303.793      
8             8             +0            -294.585      -294.585      -294.585      
9             9             +0            -281.628      -281.628      -281.628      
10            10            +0            -298.024      -298.024      -298.024      
11            11            +0            -290.069      -290.069      -290.069      
12            12            +0            -294.93       -294.93       -294.93       
13            13            +0            -288.041      -288.041      -288.041      
14            14            +0            -304.487      -304.487      -304.487      
15            15            +0            -305.578      -305.578      -305.578      
16            16            +0            -283.289      -283.289      -283.289      
17            17            +0            -313.345      -313.345      -313.345      
18            18            +0            -273.008      -273.008      -273.008      
19            19            +0            -293.528      -293.528      -293.528      
20            20            +0            -292.207      -292.207      -292.207      
21            21            +0            -298.435      -298.435      -298.435      
22            22            +0            -300.032      -300.032      -300.032      
23            23            +0            -317.799      -317.799      -317.799      
24            24            +0            -306.493      -306.493      -306.493      
25            25            +0            -302.206      -302.206      -302.206      
26            26            +0            -279.707      -279.707      -279.707      
27            27            +0            -312.265      -312.265      -312.265      
28            28            +0            -287.426      -287.426      -287.426      
29            29            +0            -290.851      -290.851      -290.851      
30            30            +0            -288.406      -288.406      -288.406      
31            31            +0            -296.726      -296.726      -296.726      
32            32            +0            -305.546      -305.546      -305.546      
33            33            +0            -310.868      -310.868      -310.868      
34            34            +0            -285.379      -285.379      -285.379      
35            35            +0            -292.767      -292.767      -292.767      
36            36            +0            -298.44       -298.44       -298.44       
37            37            +0            -310.063      -310.063      -310.063      
38            38            +0            -306.568      -306.568      -306.568      
39            39            +0            -311.228      -311.228      -311.228      
40            40            +0            -302.879      -302.879      -302.879      
41            41            +0            -291.256      -291.256      -291.256      
42            42            +0            -310.933      -310.933      -310.933      
43            43            +0            -295.341      -295.341      -295.341      
44            44            +0            -315.595      -315.595      -315.595      
45            45            +0            -311.314      -311.314      -311.314      
46            46            +0            -320.196      -320.196      -320.196      
47            47            +0            -296.773      -296.773      -296.773      
48            48            +0            -305.973      -305.973      -305.973      
49            49            +0            -313.259      -313.259      -313.259      
50            50            +0            -298.507      -298.507      -298.507      
51            51            +0            -304.701      -304.701      -304.701      
52            52            +0            -309.336      -309.336      -309.336      
53            53            +0            -311.011      -311.011      -311.011      
54            54            +0            -305.554      -305.554      -305.554      
55            55            +0            -285.552      -285.552      -285.552      
56            56            +0            -295.327      -295.327      -295.327      
57            57            +0            -314.279      -314.279      -314.279      
58            58            +0            -299.635      -299.635      -299.635      
59            59            +0            -302.478      -302.478      -302.478      
60            60            +0            -304.078      -304.078      -304.078      
61            61            +0            -300.14       -300.14       -300.14       
62            62            +0            -295.565      -295.565      -295.565      
63            63            +0            -313.668      -313.668      -313.668      
64            64            +0            -305.511      -305.511      -305.511      
65            65            +0            -317.494      -317.494      -317.494      
66            66            +0            -287.754      -287.754      -287.754      
67            67            +0            -308.761      -308.761      -308.761      
68            68            +0            -294.771      -294.771      -294.771      
69            69            +0            -299.453      -299.453      -299.453      
70            70            +0            -301.851      -301.851      -301.851      
71            71            +0            -298.312      -298.312      -298.312      
72            72            +0            -296.558      -296.558      -296.558      
73            73            +0            -292.175      -292.175      -292.175      
74            74            +0            -309.979      -309.979      -309.979      
75            75            +0            -312.199      -312.199      -312.199      
76            76            +0            -302.579      -302.579      -302.579      
77            77            +0            -308.261      -308.261      -308.261      
78            78            +0            -297.506      -297.506      -297.506      
79            79            +0            -293.926      -293.926      -293.926      
80            80            +0            -299.616      -299.616      -299.616      
81            81            +0            -306.664      -306.664      -306.664      
82            82            +0            -311.363      -311.363      -311.363      
83            83            +0            -306.765      -306.765      -306.765      
84            84            +0            -302.154      -302.154      -302.154      
85            85            +0            -285.961      -285.961      -285.961      
86            86            +0            -298.13       -298.13       -298.13       
87            87            +0            -322.619      -322.619      -322.619      
88            88            +0            -281.981      -281.981      -281.981      
89            89            +0            -319.915      -319.915      -319.915      
90            90            +0            -300.367      -300.367      -300.367      
91            91            +0            -308.241      -308.241      -308.241      
92            92            +0            -301.119      -301.119      -301.119      
93            93            +0            -307.585      -307.585      -307.585      
94            94            +0            -304.365      -304.365      -304.365      
95            95            +0            -293.695      -293.695      -293.695      
96            96            +0            -303.375      -303.375      -303.375      
97            97            +0            -298.943      -298.943      -298.943      
98            98            +0            -292.317      -292.317      -292.317      
99            99            +0            -295.248      -295.248      -295.248      
100           100           +0            -288.859      -288.859      -288.859      
101           101           +0            -302.141      -302.141      -302.141      
102           102           +0            -294.098      -294.098      -294.098      
103           103           +0            -294.404      -294.404      -294.404      
104           104           +0            -327.557      -327.557      -327.557      
105           105           +0            -312.351      -312.351      -312.351      
106           106           +0            -308.263      -308.263      -308.263      
107           107           +0            -297.307      -297.307      -297.307      
108           108           +0            -295.625      -295.625      -295.625      
109           109           +0            -292.169      -292.169      -292.169      
110           110           +0            -289.787      -289.787      -289.787      
111           111           +0            -311.741      -311.741      -311.741      
112           112           +0            -337.554      -337.554      -337.554      
113           113           +0            -323.815      -323.815      -323.815      
114           114           +0            -320.111      -320.111      -320.111      
115           115           +0            -326.637      -326.637      -326.637      
116           116           +0            -312.6        -312.6        -312.6        
117           117           +0            -302.681      -302.681      -302.681      
118           118           +0            -308.219      -308.219      -308.219      
119           119           +0            -334.199      -334.199      -334.199      
120           120           +0            -305.142      -305.142      -305.142      
121           121           +0            -310.507      -310.507      -310.507      
122           122           +0            -302.034      -302.034      -302.034      
123           123           +0            -330.7        -330.7        -330.7        
124           124           +0            -314.031      -314.031      -314.031      
125           125           +0            -311.906      -311.906      -311.906      
126           126           +0            -312.365      -312.365      -312.365      
127           127           +0            -298.121      -298.121      -298.121      
128           128           +0            -318.275      -318.275      -318.275      
129           129           +0            -329.228      -329.228      -329.228      
130           130           +0            -324.021      -324.021      -324.021      
131           131           +0            -288.765      -288.765      -288.765      
132           132           +0            -323.916      -323.916      -323.916      
133           133           +0            -305.627      -305.627      -305.627      
134           134           +0            -334.018      -334.018      -334.018      
135           135           +0            -312.918      -312.918      -312.918      
136           136           +0            -322.886      -322.886      -322.886      
137           137           +0            -319.776      -319.776      -319.776      
138           138           +0            -319.79       -319.79       -319.79       
139           139           +0            -311.288      -311.288      -311.288      
140           140           +0            -331.97       -331.97       -331.97       
141           141           +0            -326.432      -326.432      -326.432      
142           142           +0            -312.294      -312.294      -312.294      
143           143           +0            -305.976      -305.976      -305.976      
144           144           +0            -314.821      -314.821      -314.821      
145           145           +0            -334.003      -334.003      -334.003      
146           146           +0            -312.632      -312.632      -312.632      
147           147           +0            -302.07       -302.07       -302.07       
148           148           +0            -334.329      -334.329      -334.329      
149           149           +0            -329.283      -329.283      -329.283      
150           150           +0            -317.211      -317.211      -317.211      
151           151           +0            -331.687      -331.687      -331.687      
152           152           +0            -321.474      -321.474      -321.474      
153           153           +0            -303.303      -303.303      -303.303      
154           154           +0            -311.637      -311.637      -311.637      
155           155           +0            -312.113      -312.113      -312.113      
156           156           +0            -333.177      -333.177      -333.177      
157           157           +0            -331.9        -331.9        -331.9        
158           158           +0            -309.549      -309.549      -309.549      
159           159           +0            -325.189      -325.189      -325.189      
160           160           +0            -309.707      -309.707      -309.707      
161           161           +0            -322.93       -322.93       -322.93       
162           162           +0            -323.844      -323.844      -323.844      
163           163           +0            -300.866      -300.866      -300.866      
164           164           +0            -303.977      -303.977      -303.977      
165           165           +0            -304.8        -304.8        -304.8        
166           166           +0            -315.95       -315.95       -315.95       
167           167           +0            -277.985      -277.985      -277.985      
168           168           +0            -317.281      -317.281      -317.281      
169           169           +0            -307.341      -307.341      -307.341      
170           170           +0            -304.151      -304.151      -304.151      
171           171           +0            -286.226      -286.226      -286.226      
172           172           +0            -323.226      -323.226      -323.226      
173           173           +0            -332.101      -332.101      -332.101      
174           174           +0            -324.107      -324.107      -324.107      
175           175           +0            -321.184      -321.184      -321.184      
176           176           +0            -335.986      -335.986      -335.986      
177           177           +0            -325.863      -325.863      -325.863      
178           178           +0            -327.327      -327.327      -327.327      
179           179           +0            -301.345      -301.345      -301.345      
180           180           +0            -324.609      -324.609      -324.609      
181           181           +0            -311.435      -311.435      -311.435      
182           182           +0            -322.375      -322.375      -322.375      
183           183           +0            -306.933      -306.933      -306.933      
184           184           +0            -324.133      -324.133      -324.133      
185           185           +0            -327.503      -327.503      -327.503      
186           186           +0            -321.256      -321.256      -321.256      
187           187           +0            -318.8        -318.8        -318.8        
188           188           +0            -327.427      -327.427      -327.427      
189           189           +0            -333.029      -333.029      -333.029      
190           190           +0            -311.561      -311.561      -311.561      
191           191           +0            -320.608      -320.608      -320.608      
192           192           +0            -325.474      -325.474      -325.474      
193           193           +0            -311.597      -311.597      -311.597      
194           194           +0            -317.509      -317.509      -317.509      
